repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
OpenBMB/MiniCPM,Model repo,,6555,607,9.63%,1271,21.30%,418,MiniCPM3-4B: An edge-side LLM that surpasses GPT-3.5-Turbo.,"THUCSTHanxu13, LDLINGLINGLING, ShengdingHu",23,2024-01-29,2024-09-11,0
logspace-ai/langflow,AI engineering,AIE framework,27824,340,1.23%,824,3.01%,3628,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.","ogabrielluiz, anovazzi1, lucaseduoli",100+,2023-02-08,2024-09-11,1152
Mintplex-Labs/anything-llm,Applications,Info aggregation,22026,204,0.93%,2311,10.59%,2239,The all-in-one Desktop & Docker AI application with full RAG and AI Agent capabilities.,"timothycarambat, shatfield4, AntonioCiolino",74,2023-06-04,2024-09-11,0
langgenius/dify,AI engineering,AIE framework,44987,129,0.29%,717,1.60%,6314,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.","takatost, iamjoel, crazywoola",100+,2023-04-12,2024-09-12,0
jmorganca/ollama,AI engineering,AI interface,88783,127,0.14%,890,1.00%,6939,"Get up and running with Llama 3.1, Mistral, Gemma 2, and other large language models.","mxyng, jmorganca, dhiltgen",100+,2023-06-26,2024-09-12,1936545
rasbt/LLMs-from-scratch,Tutorials,,26241,122,0.47%,604,2.32%,2878,"Implementing a ChatGPT-like LLM in PyTorch from scratch, step by step","rasbt, d-kleine, Intelligence-Manifesto",24,2023-07-23,2024-09-11,0
lobehub/lobe-chat,AI engineering,AIE framework,40520,99,0.25%,2063,5.11%,9214,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Azure /  DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT/ Claude application.","arvinxx, canisminor1990, lobehubbot",100+,2023-05-21,2024-09-12,0
comfyanonymous/ComfyUI,AI engineering,AIE framework,50233,95,0.19%,767,1.53%,5289,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","comfyanonymous, pythongosssss, huchenlei",100+,2023-01-17,2024-09-11,581497
infiniflow/ragflow,AI engineering,AIE framework,16814,84,0.50%,524,3.14%,1713,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,"KevinHuSh, cike8899, guoyuhao2330",83,2023-12-12,2024-09-11,0
continuedev/continue,Applications,Coding,15742,84,0.54%,456,2.91%,1189,⏩ Continue is the leading open-source AI code assistant. You can connect any models and any context to build custom autocomplete and chat experiences inside VS Code and JetBrains,"sestinj, TyDunn, Patrick-Erichsen",100+,2023-05-24,2024-09-11,194
hiyouga/LLaMA-Factory,Model development,Modeling & training,30629,82,0.27%,486,1.59%,3775,Efficiently Fine-Tune 100+ LLMs in WebUI (ACL 2024),"hiyouga, BUAADreamer, codemayq",100+,2023-05-28,2024-07-26,0
vllm-project/vllm,Infrastructure,Serving,26412,78,0.30%,380,1.45%,3870,A high-throughput and memory-efficient inference and serving engine for LLMs,"WoosukKwon, youkaichao, zhuohan123",100+,2023-02-09,2024-09-12,8227
f/awesome-chatgpt-prompts,Lists,Prompt engineering,110429,71,0.06%,884,0.80%,15014,This repo includes ChatGPT prompt curation to use ChatGPT better.,"f, iuzn, fengkiej",83,2022-12-05,2022-12-05,0
embedchain/embedchain,AI engineering,AIE framework,21552,70,0.33%,845,3.94%,1959,The Memory layer for your AI apps,"taranjeet, deshraj, Dev-Khant",100+,2023-06-20,2024-09-11,0
getcursor/cursor,Applications,Coding,23001,69,0.30%,627,2.74%,1464,The AI Code Editor,"truell20, Sanger2000, terror",28,2023-03-12,2023-04-06,0
danielmiessler/fabric,Applications,Workflow automation,22634,54,0.24%,524,2.32%,2361,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,"danielmiessler, xssdoctor, eugeis",100+,2024-01-03,2024-09-12,8
RVC-Boss/GPT-SoVITS,AI engineering,AI interface,32375,50,0.15%,298,0.92%,3725,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),"RVC-Boss, KamioRinn, XXXXRT666",70,2024-01-14,2024-09-03,0
paul-gauthier/aider,Applications,Coding,17912,47,0.26%,475,2.66%,1671,aider is AI pair programming in your terminal,"paul-gauthier, joshuavial, caseymcc",46,2023-05-09,2024-09-11,0
composiohq/composio,AI engineering,Agent,7695,45,0.59%,825,10.81%,2340,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,"utkarsh-dixit, kaavee315, angrybayblade",29,2024-02-23,2024-09-11,67
stanfordnlp/dspy,AI engineering,Prompt engineering,16622,45,0.27%,257,1.55%,1282,DSPy: The framework for programming—not prompting—foundation models,"okhat, arnavsinghvi11, krypticmouse",100+,2023-01-09,2024-09-10,0
KillianLucas/open-interpreter,Applications,Workflow automation,52120,44,0.08%,157,0.30%,4600,A natural language interface for computers,"KillianLucas, Notnaton, MikeBirdTech",100+,2023-07-14,2024-09-05,41
OpenBMB/OmniLMM,Model repo,Multimodal,11784,43,0.37%,283,2.41%,824,"MiniCPM-V 2.6: A GPT-4V Level MLLM for Single Image, Multi Image and Video on Your Phone","yiranyyu, iceflame89, LDLINGLINGLING",22,2024-01-29,2024-08-07,0
